epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2958.73,0.91013,0.79104,1.06683,0.87772,0.7587,0.84851,0.68393,0.82465,0.60915,0.96555,2.94644e-05,2.94644e-05,2.94644e-05
40,3028.89,0.90215,0.78101,1.07063,0.89297,0.75223,0.84889,0.6852,0.82083,0.60528,0.96364,2.71082e-05,2.71082e-05,2.71082e-05
41,3094.43,0.9377,0.84486,1.03704,0.89644,0.74759,0.84506,0.68094,0.82165,0.60709,0.96272,2.4752e-05,2.4752e-05,2.4752e-05
42,3162.07,0.92747,0.8159,1.04276,0.89852,0.75086,0.84051,0.67587,0.82492,0.61219,0.96295,2.23958e-05,2.23958e-05,2.23958e-05
43,3242.61,0.92664,0.7599,1.04407,0.89699,0.74251,0.83915,0.67102,0.82885,0.61566,0.9641,2.00396e-05,2.00396e-05,2.00396e-05
44,3310.28,0.93681,0.77316,1.03822,0.90625,0.73459,0.83768,0.67117,0.83308,0.618,0.96602,1.76834e-05,1.76834e-05,1.76834e-05
45,3378.34,0.95083,0.78277,1.04296,0.89956,0.73356,0.83672,0.66928,0.83592,0.62288,0.96629,1.53272e-05,1.53272e-05,1.53272e-05
46,3445.01,0.91446,0.73671,1.03741,0.89526,0.73285,0.83548,0.66887,0.8378,0.62542,0.9673,1.2971e-05,1.2971e-05,1.2971e-05
47,3511.76,0.91424,0.72588,1.03287,0.89236,0.73539,0.83514,0.6689,0.83731,0.62705,0.96698,1.06148e-05,1.06148e-05,1.06148e-05
48,3579.66,0.88498,0.73895,1.03933,0.88911,0.73547,0.83204,0.66813,0.83908,0.62976,0.9676,8.2586e-06,8.2586e-06,8.2586e-06
49,3648.34,0.87712,0.72322,1.02015,0.89143,0.73397,0.83429,0.66884,0.83754,0.63104,0.96657,5.9024e-06,5.9024e-06,5.9024e-06
50,3715.15,0.86837,0.69909,1.02231,0.90273,0.73727,0.8344,0.66995,0.83582,0.63139,0.96559,3.5462e-06,3.5462e-06,3.5462e-06
